Date : 2026-03-29 18:46:47
Directory : c:\Users\furkan.kiraz\Desktop\nl2sql\app
Total : 176 files,  39356 codes, 6082 comments, 7801 blanks, all 53239 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_plan_repair.py                    | Python   |        523 |         17 |         76 |        616 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_understanding.py                  | Python   |        355 |         92 |         74 |        521 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_understanding_service.py          | Python   |          5 |          2 |          5 |         12 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\registry_validator.py                   | Python   |        240 |        105 |         45 |        390 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\schema_retrieval_service.py             | Python   |         39 |         31 |         12 |         82 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\semantic_embedding_indexer.py           | Python   |        253 |          6 |         37 |        296 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\semantic_planning.py                    | Python   |        852 |         48 |        147 |      1,047 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\semantic_resolution_service.py          | Python   |         87 |          2 |         14 |        103 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\session_service.py                      | Python   |         43 |          7 |         16 |         66 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\sql_compiler.py                         | Python   |        543 |        160 |        106 |        809 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\trace_serializer.py                     | Python   |        403 |         58 |         78 |        539 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\validation_repair_service.py            | Python   |        239 |         15 |         42 |        296 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\validation_service.py                   | Python   |        453 |         54 |         58 |        565 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\static\pipeline_live_view.html                   | HTML     |      1,029 |          3 |         51 |      1,083 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\static\pipeline_view.html                        | HTML     |         77 |          0 |          8 |         85 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\static\pipeline_view_legacy.html                 | HTML     |      1,335 |          0 |        175 |      1,510 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\__init__.py                                | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_api_smoke.py                          | Python   |        234 |         51 |         84 |        369 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_chat_clarification_contract.py        | Python   |         84 |          1 |         18 |        103 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_clarification_reduction.py            | Python   |        105 |         58 |         43 |        206 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_compiler_placeholders.py              | Python   |        438 |         73 |         54 |        565 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_config_sprint3.py                     | Python   |         49 |         12 |         12 |         73 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_date_expression_compiler.py           | Python   |         35 |          0 |         10 |         45 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_in_memory_retriever.py       | Python   |        318 |         71 |         73 |        462 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_retrieval_service.py         | Python   |        142 |          7 |         24 |        173 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_retriever.py                 | Python   |        178 |         20 |         32 |        230 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_e2e_real_provider_eval_concurrency.py | Python   |        266 |          0 |         41 |        307 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_e2e_real_provider_eval_verdicts.py    | Python   |        690 |         15 |         84 |        789 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_entity_retrieval.py                   | Python   |        144 |         31 |         30 |        205 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_execution_risk.py                     | Python   |        179 |          0 |         43 |        222 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_filter_column_resolution.py           | Python   |        565 |         26 |         96 |        687 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_filter_value_resolution.py            | Python   |        244 |          7 |         58 |        309 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_glossary_resolution.py                | Python   |        100 |         31 |         37 |        168 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_grounding_workflow.py                 | Python   |        896 |         88 |        206 |      1,190 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_hybrid_prompt.py                      | Python   |        149 |         18 |         34 |        201 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_index_build_scripts.py                | Python   |         15 |          0 |          9 |         24 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_intent_guard.py                       | Python   |         65 |          0 |         16 |         81 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_json_file_catalog.py                  | Python   |        357 |         29 |         52 |        438 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_jsonl_loader.py                       | Python   |        336 |         37 |         68 |        441 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_metadata_ingestion.py                 | Python   |        397 |         42 |         94 |        533 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_mock_executor.py                      | Python   |        338 |         91 |         70 |        499 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_mock_llm_provider.py                  | Python   |        263 |         67 |        100 |        430 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_multi_table.py                        | Python   |        891 |         79 |        166 |      1,136 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_narrator_leakage.py                   | Python   |        123 |          0 |         35 |        158 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_narrator_service.py                   | Python   |        244 |         42 |         72 |        358 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_openai_provider_connectivity.py       | Python   |         44 |          0 |         16 |         60 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_openwebui_chat_integration.py         | Python   |        301 |          6 |         44 |        351 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_openwebui_clarification_ui.py         | Python   |        176 |          0 |         26 |        202 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_oracle_executor.py                    | Python   |        211 |         28 |         84 |        323 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_execution_guard.py       | Python   |        161 |          0 |         31 |        192 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_llm_flow.py              | Python   |        149 |         43 |         54 |        246 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_smoke.py                 | Python   |        517 |         55 |        120 |        692 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_pipeline_live_view.py                 | Python   |        598 |         77 |        161 |        836 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_plan_normalizer.py                    | Python   |        457 |         36 |         80 |        573 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_hybrid.py                     | Python   |        458 |         62 |        103 |        623 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_hybrid_eval_coverage.py       | Python   |        146 |         21 |         37 |        204 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_models.py                     | Python   |        152 |         27 |         64 |        243 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_service.py                    | Python   |        473 |         44 |        129 |        646 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planning_stages.py                    | Python   |        385 |          0 |         51 |        436 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_prompt_budget.py                      | Python   |        409 |         64 |         64 |        537 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_plan_repair.py                  | Python   |        134 |          0 |         35 |        169 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_plan_repair_extended.py         | Python   |        118 |          2 |         28 |        148 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_understanding.py                | Python   |        188 |         38 |         58 |        284 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_registry_validator.py                 | Python   |        382 |         49 |         64 |        495 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_relationship_graph.py                 | Python   |        112 |         26 |         27 |        165 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_repair_engine_expansion.py            | Python   |         47 |          0 |         14 |         61 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_retrieval_artifact_separation.py      | Python   |        112 |          0 |         34 |        146 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_retrieval_upgrade.py                  | Python   |        488 |         97 |        144 |        729 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_run_store.py                          | Python   |        188 |         16 |         53 |        257 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_sample_data_smoke.py                  | Python   |         46 |         15 |         21 |         82 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_schema_alias_normalization.py         | Python   |         37 |          0 |         13 |         50 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_schema_retrieval.py                   | Python   |        243 |         39 |         73 |        355 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_select_columns_defaults.py            | Python   |        251 |         48 |         57 |        356 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_semantic_loader.py                    | Python   |        162 |         28 |         31 |        221 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_semantic_planning.py                  | Python   |        394 |          1 |         56 |        451 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_semantic_registry.py                  | Python   |        214 |         49 |         80 |        343 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_semantic_repository.py                | Python   |        146 |          9 |         26 |        181 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_session_service.py                    | Python   |        128 |         15 |         51 |        194 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_sprint_c.py                           | Python   |        431 |         48 |        104 |        583 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_sql_compiler.py                       | Python   |        713 |         79 |        144 |        936 |
